headline,date,section,url,word_count
What’s in a Name?,2011-01-07,Opinion,http://www.nytimes.com/2011/01/07/opinion/l07name.html,240
Southern Sudan Votes,2011-01-08,Opinion,http://www.nytimes.com/2011/01/08/opinion/08sat1.html,572
2 French Hostages Are Found Dead in Niger,2011-01-09,World,http://www.nytimes.com/2011/01/09/world/africa/09niger.html,471
"Answering Your Sudan Questions, Take 1",2011-01-09,Opinion,http://kristof.blogs.nytimes.com/2011/01/09/answering-your-sudan-questions-take-1/,1367
The Political Consequences of Violence,2011-01-12,Opinion,http://douthat.blogs.nytimes.com/2011/01/12/the-political-consequences-of-violence/,336
Determined to Strike,2011-01-16,Books,http://www.nytimes.com/2011/01/16/books/review/Ricks-t.html,1132
"Al Qaeda and the U.S., Still Battling",2011-01-18,Books,http://www.nytimes.com/2011/01/18/books/18book.html,1699
Ghailani’s Lawyers Detail Terror Defense Strategy,2011-01-18,N.Y. / Region,http://www.nytimes.com/2011/01/18/nyregion/18defense.html,2645
U.S. Prepares to Lift Ban on Guantánamo Cases,2011-01-20,U.S.,http://www.nytimes.com/2011/01/20/us/20trials.html,1135
This Is Not a Post About Sarah Palin,2011-01-21,,http://thelede.blogs.nytimes.com/2011/01/21/this-is-not-a-post-about-sarah-palin/,980
France Speaks of Its Resolve in Afghanistan After a Threat,2011-01-22,World,http://www.nytimes.com/2011/01/22/world/asia/22binladen.html,372
G.O.P. Grants Reprieve to House Ethics Office,2011-01-22,U.S.,http://www.nytimes.com/2011/01/22/us/politics/22ethics.html,846
Inside The Times,2011-01-22,New York and Region,http://query.nytimes.com/gst/fullpage.html?res=9C00E2DB1631F931A15752C0A9679D8B63,999
Former Spy With Agenda Operates a Private C.I.A.,2011-01-23,World,http://www.nytimes.com/2011/01/23/world/23clarridge.html,2707
"In Mideast Activism, New Tilt Away From Ideology",2011-01-23,World,http://www.nytimes.com/2011/01/23/world/middleeast/23egypt.html,1266
Conspirator’s Path From Poverty as a Boy in Zanzibar to bin Laden’s Side,2011-01-24,N.Y. / Region,http://www.nytimes.com/2011/01/24/nyregion/24ghailani.html,1711
"Morning Buzz | Cook, Bodyguard and Terror Conspirator",2011-01-24,N.Y. / Region,http://cityroom.blogs.nytimes.com/2011/01/24/morning-buzz-cook-bodyguard-and-terror-conspirator/,595
Onetime Taliban Handler Dies in Their Hands,2011-01-25,World,http://www.nytimes.com/2011/01/25/world/asia/25pakistan.html,758
Ex-Detainee Gets Life Sentence in Embassy Blasts,2011-01-26,N.Y. / Region,http://www.nytimes.com/2011/01/26/nyregion/26ghailani.html,1146
Dealing With Assange and the WikiLeaks Secrets,2011-01-30,Magazine,http://www.nytimes.com/2011/01/30/magazine/30Wikileaks-t.html,7982
"As Islamist Group Rises, Its Intentions Are Unclear",2011-02-04,World,http://www.nytimes.com/2011/02/04/world/middleeast/04brotherhood.html,1405
Authorities Faulted in Fort Hood Attack,2011-02-04,U.S.,http://www.nytimes.com/2011/02/04/us/04hood.html,519
Lawyer Disputes Portrayal of Detainee,2011-02-05,U.S.,http://www.nytimes.com/2011/02/05/us/05gitmo.html,193
"Militants, Women and Tahrir Sq.",2011-02-06,Opinion,http://www.nytimes.com/2011/02/06/opinion/06kristof.html,811
N.Y.U. Report Casts Doubt on Taliban’s Ties With Al Qaeda,2011-02-07,World,http://www.nytimes.com/2011/02/07/world/asia/07afghan.html,749
Egypt’s Moment,2011-02-12,Opinion,http://www.nytimes.com/2011/02/12/opinion/12sat1.html,588
Osama Bin Laden: The Specter,2011-02-13,Books,http://www.nytimes.com/2011/02/13/books/review/Ajami-t.html,1299
Mubarak Family Riches Attract New Focus,2011-02-13,World,http://www.nytimes.com/2011/02/13/world/middleeast/13wealth.html,1257
