headline,date,section,url,word_count
What Egypt Can Teach America,2011-02-13,Opinion,http://www.nytimes.com/2011/02/13/opinion/13kristof.html,804
"Sometimes, Justice Can Play Politics",2011-02-13,Opinion,http://www.nytimes.com/2011/02/13/opinion/13feldman.html,1382
From 9/11 to 2/11,2011-02-14,Opinion,http://www.nytimes.com/2011/02/14/opinion/14cohen.html,822
Feb. 24: Updates on Libyan Uprising,2011-02-24,,http://thelede.blogs.nytimes.com/2011/02/24/latest-updates-on-libyan-uprising/,3760
Libyan Rebels Repel Qaddafi’s Forces Near Tripoli,2011-02-25,World,http://www.nytimes.com/2011/02/25/world/africa/25libya.html,1518
"Mubarak, Terrorism and Their Tie",2011-02-26,N.Y. / Region,http://www.nytimes.com/2011/02/26/nyregion/26about.html,765
Failure in Afghanistan,2011-02-27,Opinion,http://www.nytimes.com/2011/02/27/opinion/l27afghan.html,210
The Vacuum After Qaddafi,2011-02-27,World,http://www.nytimes.com/2011/02/27/world/africa/27qaddafi.html,1516
Rebels in Libya Gain Power and Defectors,2011-02-28,World,http://www.nytimes.com/2011/02/28/world/africa/28unrest.html,1483
"As Regimes Fall in Arab World, Al Qaeda Sees History Fly By",2011-02-28,World,http://www.nytimes.com/2011/02/28/world/middleeast/28qaeda.html,1199
Radical Cleric Demands Ouster of Yemen Leader,2011-03-02,World,http://www.nytimes.com/2011/03/02/world/middleeast/02yemen.html,1088
Afghan Tells of Ordeal at the ‘Center of Al Qaeda’,2011-03-03,World,http://www.nytimes.com/2011/03/03/world/asia/03kidnap.html,1309
Radical Cleric Still Speaks on YouTube,2011-03-05,World,http://www.nytimes.com/2011/03/05/world/middleeast/05youtube.html,1205
The $110 Billion Question,2011-03-06,Opinion,http://www.nytimes.com/2011/03/06/opinion/06friedman.html,861
"A Libyan Leader at War With Rebels, and Reality",2011-03-07,World,http://www.nytimes.com/2011/03/07/world/middleeast/07qaddafi.html,1917
In Search of Monsters,2011-03-13,Opinion,http://www.nytimes.com/2011/03/13/opinion/13dowd.html,822
"A Teddy Bear on the Hot Seat, With Hysteria Swirling All Around",2011-03-14,Theater,http://www.nytimes.com/2011/03/14/theater/reviews/clifford-chases-winkie-a-bear-in-trouble-at-59e59-review.html,372
So's Your Old Man,2011-03-14,Opinion,http://opinionator.blogs.nytimes.com/2011/03/14/sos-your-old-man/,1217
General Sees Joint Bases for Afghans After 2014,2011-03-16,World,http://www.nytimes.com/2011/03/16/world/asia/16petraeus.html,538
Look Who’s Meditating Now,2011-03-20,Fashion & Style,http://www.nytimes.com/2011/03/20/fashion/20TM.html,1638
Suit Filed on Behalf of Spanish Judge,2011-03-26,World,http://www.nytimes.com/2011/03/26/world/europe/26spain.html,459
"Profiles of World Leaders, at a Distance",2011-03-28,Science,http://www.nytimes.com/slideshow/2011/03/28/science/20110329-psych.html,8
March 30 Updates on Libyan War and Mideast Protests,2011-03-30,,http://thelede.blogs.nytimes.com/2011/03/30/latest-updates-on-libyan-war-and-mideast-protests-3/,2838
"In Yemen, Sit-In Against the Government Yields Business Opportunities",2011-03-31,World,http://www.nytimes.com/2011/03/31/world/middleeast/31yemen.html,745
"Islamists Are Elated by Revolts, Cleric Says",2011-03-31,World,http://www.nytimes.com/2011/03/31/world/middleeast/31inspire.html,737
March 31 Updates on Libyan War and Mideast Protests,2011-03-31,,http://thelede.blogs.nytimes.com/2011/03/31/latest-updates-on-libyan-war-and-mideast-protests-4/,4468
Traveling in Suriname With Marley and Bush on the Bus,2011-04-01,World,http://www.nytimes.com/2011/04/01/world/americas/01suriname.html,1119
"In Federal Court, a Docket Number for Global Terror",2011-04-11,N.Y. / Region,http://www.nytimes.com/2011/04/11/nyregion/11indict.html,833
Financing the Hand That Slaps (or Nibbles) You,2011-04-17,Movies,http://www.nytimes.com/2011/04/17/movies/selling-morgan-spurlocks-greatest-movie-ever-sold.html,1544
‘Gang of Six’ in the Senate Seeking a Plan on Debt,2011-04-17,U.S.,http://www.nytimes.com/2011/04/17/us/politics/17fiscal.html,1301
"Libyan, Once a Detainee, Is Now a U.S. Ally of Sorts",2011-04-25,World,http://www.nytimes.com/2011/04/25/world/guantanamo-files-libyan-detainee-now-us-ally-of-sorts.html,900
"Judging Detainees’ Risk, Often With Flawed Evidence",2011-04-25,World,http://www.nytimes.com/2011/04/25/world/guantanamo-files-flawed-evidence-for-assessing-risk.html,2383
Reaction to ‘The Guantanamo Files’,2011-04-25,,http://thelede.blogs.nytimes.com/2011/04/25/reaction-to-the-guantanamo-files/,1552
Dossier Shows Push for More Attacks After 9/11,2011-04-26,World,http://www.nytimes.com/2011/04/26/world/guantanamo-files-portrait-of-push-for-post-september-11-attacks.html,1191
Secret Case Against Detainee Crumbles,2011-04-27,World,http://www.nytimes.com/2011/04/27/world/secret-case-against-detainee-crumbles.html,1243
Video of 4 French Hostages Is Released,2011-04-28,World,http://www.nytimes.com/2011/04/28/world/europe/28hostages.html,258
"In These Portraits, a Challenge to Labels of ‘Sitter’ and ‘Artist’",2011-05-01,N.Y. / Region,http://www.nytimes.com/2011/05/01/nyregion/in-these-portraits-a-challenge-to-labels-of-sitter-and-artist.html,1129
Live Video of President Obama's Address,2011-05-01,,http://thelede.blogs.nytimes.com/2011/05/01/live-video-of-president-obamas-address/,88
"Bin Laden Is Dead, President Obama Says",2011-05-01,World,http://atwar.blogs.nytimes.com/2011/05/01/bin-laden-is-dead-u-s-official-says/,333
How the Bin Laden Announcement Leaked Out,2011-05-01,Business,http://mediadecoder.blogs.nytimes.com/2011/05/01/how-the-osama-announcement-leaked-out/,570
Obama Announces Killing of Osama bin Laden,2011-05-01,,http://thelede.blogs.nytimes.com/2011/05/01/bin-laden-dead-u-s-official-says/,373
