headline,date,section,url,word_count
Bin Laden Pilot Says He Helped Buy Jet to Ship Missiles,2001-02-15,Washington; New York and Region,http://www.nytimes.com/2001/02/15/nyregion/bin-laden-pilot-says-he-helped-buy-jet-to-ship-missiles.html,902
Judge Extends Legal Rights Beyond U.S.,2001-02-17,Washington; New York and Region,http://www.nytimes.com/2001/02/17/nyregion/judge-extends-legal-rights-beyond-us.html,978
A Decade Beyond the Gulf War,2001-02-18,World; Washington,http://www.nytimes.com/2001/02/18/world/a-decade-beyond-the-gulf-war.html,1063
Yemen Holds 2 More In Attack on the Cole,2001-02-19,World,http://www.nytimes.com/2001/02/19/world/yemen-holds-2-more-in-attack-on-the-cole.html,197
"Reporter's Notebook; Arguments in Bomb Trial, but With His Own Lawyer",2001-02-20,Washington; New York and Region,http://www.nytimes.com/2001/02/20/nyregion/reporter-s-notebook-arguments-in-bomb-trial-but-with-his-own-lawyer.html,390
Reporter's Notebook; All Rise? Not So Fast,2001-02-20,Washington; New York and Region,http://www.nytimes.com/2001/02/20/nyregion/reporter-s-notebook-all-rise-not-so-fast.html,216
Reporter's Notebook; Time Is No Fugitive Here,2001-02-20,Washington; New York and Region,http://www.nytimes.com/2001/02/20/nyregion/reporter-s-notebook-time-is-no-fugitive-here.html,115
NEWS SUMMARY,2001-02-21,New York and Region,http://www.nytimes.com/2001/02/21/nyregion/news-summary-014192.html,991
Ex-Aide Tells of Plot to Kill bin Laden,2001-02-21,New York and Region,http://www.nytimes.com/2001/02/21/nyregion/ex-aide-tells-of-plot-to-kill-bin-laden.html,919
"Hunting bin Laden's Allies, U.S. Extends Net to Europe",2001-02-21,World; Front Page; Washington,http://www.nytimes.com/2001/02/21/world/hunting-bin-laden-s-allies-us-extends-net-to-europe.html,1323
Witness in Bombing Case Describes Scouting Mission by 3 Men Near Embassy,2001-02-22,Washington; New York and Region,http://www.nytimes.com/2001/02/22/nyregion/witness-in-bombing-case-describes-scouting-mission-by-3-men-near-embassy.html,765
Effort to Cut Expenditures Costly for bin Laden,2001-02-23,Washington; New York and Region,http://www.nytimes.com/2001/02/23/nyregion/effort-to-cut-expenditures-costly-for-bin-laden.html,801
"Reporter's Notebook; Absent From the Courtroom, bin Laden Is Everywhere at a Terrorism Trial",2001-02-25,Washington; New York and Region,http://www.nytimes.com/2001/02/25/nyregion/reporter-s-notebook-absent-courtroom-bin-laden-everywhere-terrorism-trial.html,756
Reporter's Notebook; Consideration for the Jury,2001-02-25,Washington; New York and Region,http://www.nytimes.com/2001/02/25/nyregion/reporter-s-notebook-consideration-for-the-jury.html,401
Varied Portraits of bin Laden Emerge in Embassy Bomb Case,2001-02-27,Washington; New York and Region,http://www.nytimes.com/2001/02/27/nyregion/varied-portraits-of-bin-laden-emerge-in-embassy-bomb-case.html,662
Seeking to Tie Conspiracy to Embassy Attacks,2001-02-28,Washington; New York and Region,http://www.nytimes.com/2001/02/28/nyregion/seeking-to-tie-conspiracy-to-embassy-attacks.html,850
Hectic Pace for Terrorists Before Embassy Explosion,2001-03-01,Washington; New York and Region,http://www.nytimes.com/2001/03/01/nyregion/hectic-pace-for-terrorists-before-embassy-explosion.html,812
WORLD BRIEFING,2001-03-01,World,http://www.nytimes.com/2001/03/01/world/world-briefing.html,942
"DESPERATE MIGRATION -- A special report.; Fleeing Famine and War, Afghans Again Meet Death",2001-03-02,World; Front Page,http://www.nytimes.com/2001/03/02/world/desperate-migration-special-report-fleeing-famine-war-afghans-again-meet-death.html,2295
AMBASSADOR TELLS OF BOMB'S HORROR,2001-03-02,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/03/02/nyregion/ambassador-tells-of-bomb-s-horror.html,989
"Technically Speaking, His Biggest Court Challenge",2001-03-02,New York and Region,http://www.nytimes.com/2001/03/02/nyregion/public-lives-technically-speaking-his-biggest-court-challenge.html,883
U.N. Pleads With Taliban Not to Destroy Buddha Statues,2001-03-03,World,http://www.nytimes.com/2001/03/03/world/un-pleads-with-taliban-not-to-destroy-buddha-statues.html,816
Obliterating History in Afghanistan,2001-03-03,Opinion,http://www.nytimes.com/2001/03/03/opinion/obliterating-history-in-afghanistan.html,299
"Reporter's Notebook; When Sensitivities Run High, Parsing the Tone on the Bench",2001-03-04,Washington; New York and Region,http://www.nytimes.com/2001/03/04/nyregion/reporter-s-notebook-when-sensitivities-run-high-parsing-the-tone-on-the-bench.html,865
"Over World Protests, Taliban Are Destroying Ancient Buddhas",2001-03-04,World,http://www.nytimes.com/2001/03/04/world/over-world-protests-taliban-are-destroying-ancient-buddhas.html,1012
Taking Sides in Afghanistan,2001-03-08,Opinion,http://www.nytimes.com/2001/03/08/opinion/taking-sides-in-afghanistan.html,839
"Embassy Bombing Witnesses Recall Blood, Smoke and Chaos",2001-03-08,Washington; New York and Region,http://www.nytimes.com/2001/03/08/nyregion/embassy-bombing-witnesses-recall-blood-smoke-and-chaos.html,1119
Wreckage And Words Portray Bomb's Force,2001-03-09,Washington; New York and Region,http://www.nytimes.com/2001/03/09/nyregion/wreckage-and-words-portray-bomb-s-force.html,781
Man Pleads Guilty to Role In Millennial Terrorism Plot,2001-03-10,New York and Region,http://www.nytimes.com/2001/03/10/nyregion/man-pleads-guilty-to-role-in-millennial-terrorism-plot.html,1000
March 4-10; Annan May Meet Taliban,2001-03-11,Week in Review,http://www.nytimes.com/2001/03/11/weekinreview/march-4-10-annan-may-meet-taliban.html,97
Afghan Says Destruction Of Buddhas Is Complete,2001-03-12,Science; World,http://www.nytimes.com/2001/03/12/world/afghan-says-destruction-of-buddhas-is-complete.html,503
National News Briefs; Jury Selection Begins In Terrorism Trial,2001-03-13,,http://www.nytimes.com/2001/03/13/us/national-news-briefs-jury-selection-begins-in-terrorism-trial.html,120
Terrorism Trial May Keep to Narrower Focus,2001-03-14,U.S.,http://www.nytimes.com/2001/03/14/us/terrorism-trial-may-keep-to-narrower-focus.html,830
Vivid Detail Of Bombing Highlights Terror Trial,2001-03-14,Washington; New York and Region,http://www.nytimes.com/2001/03/14/nyregion/vivid-detail-of-bombing-highlights-terror-trial.html,725
Bush Chooses Chief for Federal Prosecutions,2001-03-15,U.S.,http://www.nytimes.com/2001/03/15/us/bush-chooses-chief-for-federal-prosecutions.html,450
Prosecutors Sketch Bombing Suspect's Role,2001-03-15,Washington; New York and Region,http://www.nytimes.com/2001/03/15/nyregion/prosecutors-sketch-bombing-suspect-s-role.html,749
Ideas & Trends; Taliban: War for War's Sake,2001-03-18,Week in Review,http://www.nytimes.com/2001/03/18/weekinreview/ideas-trends-taliban-war-for-war-s-sake.html,819
Taliban Explains Buddha Demolition,2001-03-19,Science; World,http://www.nytimes.com/2001/03/19/world/taliban-explains-buddha-demolition.html,1150
Bombing Suspect Is Said to Admit He Felt 'Duty to Kill Americans',2001-03-20,Washington; New York and Region,http://www.nytimes.com/2001/03/20/nyregion/bombing-suspect-is-said-to-admit-he-felt-duty-to-kill-americans.html,507
Terror Suspect Held Secretly For 4 Months,2001-03-22,Washington; New York and Region,http://www.nytimes.com/2001/03/22/nyregion/terror-suspect-held-secretly-for-4-months.html,767
Agreements on Evidence Speed Up Terror Trial,2001-03-22,Washington; New York and Region,http://www.nytimes.com/2001/03/22/nyregion/agreements-on-evidence-speed-up-terror-trial.html,560
Issues of Distortions and Lies at Terror Trial,2001-03-23,New York and Region,http://www.nytimes.com/2001/03/23/nyregion/issues-of-distortions-and-lies-at-terror-trial.html,594
Terror Suspect Fails in Effort to Move Other Trial,2001-03-31,Washington; New York and Region,http://www.nytimes.com/2001/03/31/nyregion/terror-suspect-fails-in-effort-to-move-other-trial.html,318
"Reporter's Notebook; Even in Terror's Path, Batteries Die and Love Notes Flourish",2001-04-01,New York and Region,http://www.nytimes.com/2001/04/01/nyregion/reporter-s-notebook-even-in-terror-s-path-batteries-die-and-love-notes-flourish.html,865
The World: Martyrdom; The Promise of Paradise That Slays Peace,2001-04-01,Week in Review,http://www.nytimes.com/2001/04/01/weekinreview/the-world-martyrdom-the-promise-of-paradise-that-slays-peace.html,1645
The ABC's of Terror,2001-04-05,Washington; New York and Region,http://www.nytimes.com/2001/04/05/nyregion/the-abc-s-of-terror.html,241
Translation: 'The How-To Book of Terrorism',2001-04-05,Washington; New York and Region,http://www.nytimes.com/2001/04/05/nyregion/translation-the-how-to-book-of-terrorism.html,1161
NEWS SUMMARY,2001-04-05,New York and Region,http://www.nytimes.com/2001/04/05/nyregion/news-summary-722200.html,1114
The ABC's of Terror In Just 18 Chapters,2001-04-05,Front Page; New York and Region,http://www.nytimes.com/2001/04/05/nyregion/the-abc-s-of-terror-in-just-18-chapters.html,128
Italy Arrests 5 Islamists in Failed Bomb Plot,2001-04-06,World,http://www.nytimes.com/2001/04/06/world/italy-arrests-5-islamists-in-failed-bomb-plot.html,177
Algerian Is Found Guilty in Plot to Bomb Sites in the U.S.,2001-04-07,U.S.,http://www.nytimes.com/2001/04/07/us/algerian-is-found-guilty-in-plot-to-bomb-sites-in-the-us.html,431
"Word for Word/Tips for Terrorists; Lose the Toothpick, Don't Talk to Cabbies and Watch Where You Park",2001-04-08,Week in Review,http://www.nytimes.com/2001/04/08/weekinreview/word-for-word-tips-for-terrorists-lose-toothpick-don-t-talk-cabbies-watch-where.html,1170
Russia Seeks Sanctions Against Pakistan for Aid to Taliban,2001-04-09,World; Washington,http://www.nytimes.com/2001/04/09/world/russia-seeks-sanctions-against-pakistan-for-aid-to-taliban.html,642
U.S. to Fight if Mental Illness Is Claim in Terror-Case Stabbing,2001-04-10,Health; Washington; New York and Region,http://www.nytimes.com/2001/04/10/nyregion/us-to-fight-if-mental-illness-is-claim-in-terror-case-stabbing.html,375
Judge in Terror Case Tells Court: Simplify,2001-04-13,Washington; New York and Region,http://www.nytimes.com/2001/04/13/nyregion/judge-in-terror-case-tells-court-simplify.html,254
CNN Fights Request for Footage in Embassy Bombing Case,2001-04-14,New York and Region,http://www.nytimes.com/2001/04/14/nyregion/cnn-fights-request-for-footage-in-embassy-bombing-case.html,397
Terrorism Trial Lawyers' Ethical Puzzle: Defending Haters of U.S.,2001-04-16,Washington; New York and Region,http://www.nytimes.com/2001/04/16/nyregion/terrorism-trial-lawyers-ethical-puzzle-defending-haters-of-us.html,1604
"Fear Stifled Defense Case, Lawyer Says in Terror Trial",2001-04-17,Washington; New York and Region,http://www.nytimes.com/2001/04/17/nyregion/fear-stifled-defense-case-lawyer-says-in-terror-trial.html,718
WORLD BRIEFING,2001-04-19,World,http://www.nytimes.com/2001/04/19/world/world-briefing.html,822
"Embassy Bombings Trial Nearing End, Judge Suggests",2001-04-19,Washington; New York and Region,http://www.nytimes.com/2001/04/19/nyregion/embassy-bombings-trial-nearing-end-judge-suggests.html,605
"In Embassy Bombings Case, Putting a Face on Men Confronting Death",2001-04-22,Washington; New York and Region,http://www.nytimes.com/2001/04/22/nyregion/in-embassy-bombings-case-putting-a-face-on-men-confronting-death.html,1177
McVeigh Execution Casts Shadow on Embassy Terror Trial,2001-04-24,Washington; New York and Region,http://www.nytimes.com/2001/04/24/nyregion/mcveigh-execution-casts-shadow-on-embassy-terror-trial.html,880
U.S. Sends 2 To Assess Drug Program For Afghans,2001-04-25,World,http://www.nytimes.com/2001/04/25/world/us-sends-2-to-assess-drug-program-for-afghans.html,643
"Violence Against Innocents Violates Islamic Law, a Cleric Testifies at Bombings Trial",2001-04-25,Washington; New York and Region,http://www.nytimes.com/2001/04/25/nyregion/violence-against-innocents-violates-islamic-law-cleric-testifies-bombings-trial.html,795
Testimony on Somali Attack Is Excluded in Terror Trial,2001-04-27,Washington; New York and Region,http://www.nytimes.com/2001/04/27/nyregion/testimony-on-somali-attack-is-excluded-in-terror-trial.html,749
"Reporter's Notebook; At the Bombings Trial, Time for Some Pet Pictures",2001-04-30,Washington; New York and Region,http://www.nytimes.com/2001/04/30/nyregion/reporter-s-notebook-at-the-bombings-trial-time-for-some-pet-pictures.html,768
Defense Rests in African Embassy Bombings Trial,2001-05-01,Washington; New York and Region,http://www.nytimes.com/2001/05/01/nyregion/defense-rests-in-african-embassy-bombings-trial.html,496
Terror on Trial,2001-05-02,U.S.,http://learning.blogs.nytimes.com/2001/05/02/terror-on-trial/,1827
Conspiracy By bin Laden Is Described,2001-05-02,Washington; New York and Region,http://www.nytimes.com/2001/05/02/nyregion/conspiracy-by-bin-laden-is-described.html,953
Central Asia Braces to Fight Islamic Rebels,2001-05-03,World; Front Page; Washington,http://www.nytimes.com/2001/05/03/world/central-asia-braces-to-fight-islamic-rebels.html,1495
Prosecutor Says Sketches Link Suspect to Bombings,2001-05-03,Washington; New York and Region,http://www.nytimes.com/2001/05/03/nyregion/prosecutor-says-sketches-link-suspect-to-bombings.html,847
Defense Attacks Reliability Of a Witness in Terror Case,2001-05-04,Washington; New York and Region,http://www.nytimes.com/2001/05/04/nyregion/defense-attacks-reliability-of-a-witness-in-terror-case.html,688
Lawyers Seeking to Expose Plea Deal in Bombings Case,2001-05-06,New York and Region,http://www.nytimes.com/2001/05/06/nyregion/lawyers-seeking-to-expose-plea-deal-in-bombings-case.html,919
MediaTalk; Security Concerns Blur an Artist's Drawings,2001-05-07,Technology; Business,http://www.nytimes.com/2001/05/07/business/mediatalk-security-concerns-blur-an-artist-s-drawings.html,426
Bombing Trial Defense Disavows bin Laden Calls for Violence,2001-05-08,Washington; New York and Region,http://www.nytimes.com/2001/05/08/nyregion/bombing-trial-defense-disavows-bin-laden-calls-for-violence.html,795
Lawyers Cite Statements Of Defendants In Terror Case,2001-05-09,Washington; New York and Region,http://www.nytimes.com/2001/05/09/nyregion/lawyers-cite-statements-of-defendants-in-terror-case.html,802
Prosecutor's Summation in African Embassy Bombings Case Highlights Victims' Misery,2001-05-10,Washington; New York and Region,http://www.nytimes.com/2001/05/10/nyregion/prosecutor-s-summation-african-embassy-bombings-case-highlights-victims-misery.html,700
Metro Briefing | New York: Manhattan: Jury Gets Terror Case,2001-05-11,Washington; New York and Region,http://www.nytimes.com/2001/05/11/nyregion/metro-briefing-new-york-manhattan-jury-gets-terror-case.html,100
Terror Case To End Secrets Of Plea Deals By Informers,2001-05-12,New York and Region,http://www.nytimes.com/2001/05/12/nyregion/terror-case-to-end-secrets-of-plea-deals-by-informers.html,760
RISK AND REWARD IN YEMEN,2001-05-13,Travel; Magazine,http://www.nytimes.com/2001/05/13/magazine/on-the-verge-risk-and-reward-in-yemen.html,1607
U.S. Checks Evidence Sharing In the Embassy Bombings Trial,2001-05-16,Washington; New York and Region,http://www.nytimes.com/2001/05/16/nyregion/us-checks-evidence-sharing-in-the-embassy-bombings-trial.html,490
Metro Briefing | New York: Manhattan: Bombing Jury Still Out,2001-05-17,Washington; New York and Region,http://www.nytimes.com/2001/05/17/nyregion/metro-briefing-new-york-manhattan-bombing-jury-still-out.html,59
Judge Would Allow Victim Photos in Terror Trial,2001-05-18,Washington; New York and Region,http://www.nytimes.com/2001/05/18/nyregion/judge-would-allow-victim-photos-in-terror-trial.html,380
"Juror in Bombings Case Asks for a Recess, Outside",2001-05-19,Washington; New York and Region,http://www.nytimes.com/2001/05/19/nyregion/juror-in-bombings-case-asks-for-a-recess-outside.html,389
"Taliban's Ban On Poppy A Success, U.S. Aides Say",2001-05-20,World,http://www.nytimes.com/2001/05/20/world/taliban-s-ban-on-poppy-a-success-us-aides-say.html,741
2 Strategies in Pleas for Life in Bombing Trial,2001-05-24,Washington; New York and Region,http://www.nytimes.com/2001/05/24/nyregion/2-strategies-in-pleas-for-life-in-bombing-trial.html,782
Terrorist Is Said to Be Helping U.S. Prosecutors,2001-05-27,,http://www.nytimes.com/2001/05/27/us/terrorist-is-said-to-be-helping-us-prosecutors.html,357
Metro Briefing | New York: Manhattan: South Africa Rules On Terror Suspect,2001-05-29,Washington; New York and Region,http://www.nytimes.com/2001/05/29/nyregion/metro-briefing-new-york-manhattan-south-africa-rules-on-terror-suspect.html,123
America And Its Trial Seem to Be So Far Away,2001-05-30,Washington; New York and Region,http://www.nytimes.com/2001/05/30/nyregion/the-terror-verdict-kenya-america-and-its-trial-seem-to-be-so-far-away.html,605
The Embassy Bombings Verdict,2001-05-30,Opinion,http://www.nytimes.com/2001/05/30/opinion/the-embassy-bombings-verdict.html,480
"For Two Guilty of Murder, A Question of Life or Death",2001-05-30,Washington; New York and Region,http://www.nytimes.com/2001/05/30/nyregion/terror-verdict-next-step-for-two-guilty-murder-question-life-death.html,878
4 GUILTY IN TERROR BOMBINGS OF 2 U.S. EMBASSIES IN AFRICA; JURY TO WEIGH 2 EXECUTIONS,2001-05-30,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/05/30/nyregion/terror-verdict-overview-4-guilty-terror-bombings-2-us-embassies-africa-jury.html,1526
NEWS SUMMARY,2001-05-30,New York and Region,http://www.nytimes.com/2001/05/30/nyregion/news-summary-554693.html,1116
Trial Poked Holes in Image Of bin Laden's Terror Group,2001-05-31,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/05/31/nyregion/terror-verdict-organization-trial-poked-holes-image-bin-laden-s-terror-group.html,1725
South Africa Regrets Its Role in a Defendant's Extradition,2001-05-31,Washington; New York and Region,http://www.nytimes.com/2001/05/31/nyregion/terror-verdict-reverberations-south-africa-regrets-its-role-defendant-s.html,662
"In Kenya, Compensation Is a Priority",2001-05-31,Washington; New York and Region,http://www.nytimes.com/2001/05/31/nyregion/the-terror-verdict-the-reaction-in-kenya-compensation-is-a-priority.html,819
"Only Death Fits Crime, Jury Is Told Amid Tears",2001-05-31,Washington; New York and Region,http://www.nytimes.com/2001/05/31/nyregion/the-terror-verdict-the-sentencing-only-death-fits-crime-jury-is-told-amid-tears.html,705
U.S. Ends a Death Penalty Case in Terror Trial,2001-06-01,Washington; New York and Region,http://www.nytimes.com/2001/06/01/nyregion/us-ends-a-death-penalty-case-in-terror-trial.html,439
Life-and-Death Questions In Embassy Bombings Case,2001-06-03,Washington; New York and Region,http://www.nytimes.com/2001/06/03/nyregion/life-and-death-questions-in-embassy-bombings-case.html,959
May 27-June 2; 4 Convicted in Bombings Of U.S. Embassies in Africa,2001-06-03,Week in Review,http://www.nytimes.com/2001/06/03/weekinreview/may-27-june-2-4-convicted-in-bombings-of-us-embassies-in-africa.html,98
Praise the Taliban?,2001-06-04,Opinion,http://www.nytimes.com/2001/06/04/opinion/l-praise-the-taliban-606790.html,146
Defense in Terror Trial Cites U.S. Sanctions Against Iraq,2001-06-05,Washington; New York and Region,http://www.nytimes.com/2001/06/05/nyregion/defense-in-terror-trial-cites-us-sanctions-against-iraq.html,743
Jury Weighs Death Penalty For Bomber,2001-06-06,Washington; New York and Region,http://www.nytimes.com/2001/06/06/nyregion/jury-weighs-death-penalty-for-bomber.html,686
Metro Briefing | New York: Manhattan: Jury Still Out In Bombing Case,2001-06-08,Washington; New York and Region,http://www.nytimes.com/2001/06/08/nyregion/metro-briefing-new-york-manhattan-jury-still-out-in-bombing-case.html,102
Reporter's Notebook; Jury Access to Islamic Books Is Debated,2001-06-11,Washington; New York and Region,http://www.nytimes.com/2001/06/11/nyregion/reporter-s-notebook-jury-access-to-islamic-books-is-debated.html,954
Jury May Be Divided on Death Penalty in Embassy Case,2001-06-12,Washington; New York and Region,http://www.nytimes.com/2001/06/12/nyregion/jury-may-be-divided-on-death-penalty-in-embassy-case.html,774
