headline,date,section,url,word_count,id
Corrections,1/1/01,Corrections; New York and Region,http://www.nytimes.com/2001/01/01/nyregion/c-corrections-240559.html,45,1
First Day of Jury Selection In U.S. Embassy Bombings,1/3/01,Washington; New York and Region,http://www.nytimes.com/2001/01/03/nyregion/first-day-of-jury-selection-in-us-embassy-bombings.html,800,2
Jury Selection in Embassy Bombing Case Faces Hardship Challenges,1/4/01,Washington; New York and Region,http://www.nytimes.com/2001/01/04/nyregion/jury-selection-in-embassy-bombing-case-faces-hardship-challenges.html,851,3
Yemen Cites Complicity of 6 in Cole Attack,1/5/01,World,http://www.nytimes.com/2001/01/05/world/yemen-cites-complicity-of-6-in-cole-attack.html,216,4
Test Article,4/16/16,World,http://www.nytimes.com/2016/04/21/opinion/transgender-students-win-on-restroom-rights.html?action=click&pgtype=Homepage&clickSource=story-heading&module=opinion-c-col-left-region&region=opinion-c-col-left-region&WT.nav=opinion-c-col-left-region&_r=0,232,5
U.S. Embassy In Rome Sends Staff Home After Threat,1/6/01,World,http://www.nytimes.com/2001/01/06/world/us-embassy-in-rome-sends-staff-home-after-threat.html,321,6
Security Threat Keeps U.S. Embassy in Rome Closed,1/8/01,World; Washington,http://www.nytimes.com/2001/01/08/world/security-threat-keeps-us-embassy-in-rome-closed.html,291,7
Cole Suspect Tells of Link To bin Laden,1/9/01,World,http://www.nytimes.com/2001/01/09/world/cole-suspect-tells-of-link-to-bin-laden.html,294,8
Bin Laden Shown on TV Tape Smiling at His Son's Wedding,1/11/01,World,http://www.nytimes.com/2001/01/11/world/bin-laden-shown-on-tv-tape-smiling-at-his-son-s-wedding.html,283,9
